open issues,closed issues,open pull requests,closed pull requests,merged pull requests
392,2716,56,1020,5082
392,2716,54,1020,5084
371,2740,56,1021,5092
371,2740,53,1024,5103
371,2741,55,1024,5107
371,2741,53,1024,5109
371,2743,54,1024,5159
371,2743,53,1024,5207
372,2745,54,1024,5242
373,2745,53,1027,5298
372,2748,52,1027,5369
374,2749,52,1027,5370
373,2751,46,1030,5388
374,2752,47,1030,5413
370,2757,46,1030,5441
372,2757,49,1031,5498
372,2759,48,1034,5550
373,2762,47,1035,5567
373,2762,48,1035,5567
372,2763,47,1035,5570
372,2763,46,1037,5592
372,2763,46,1037,5603
373,2764,47,1037,5603
373,2764,48,1037,5605
373,2764,49,1037,5605
371,2766,49,1037,5605
371,2766,49,1037,5605
372,2765,47,1038,5626
371,2768,50,1038,5672
373,2768,48,1039,5697
375,2768,49,1039,5756
380,2769,48,1039,5793
380,2769,49,1039,5793
380,2769,49,1039,5793
379,2770,48,1041,5801
379,2771,49,1041,5803
384,2771,50,1042,5807
384,2772,50,1042,5839
385,2773,51,1042,5844
385,2773,52,1042,5844
385,2773,52,1042,5844
385,2773,58,1042,5844
386,2774,133,1043,5845
386,2774,56,1061,5929
388,2773,55,1060,5950
386,2775,54,1060,5953
385,2776,54,1060,5953
385,2777,54,1060,5954
386,2777,52,1061,5955
388,2777,53,1061,5987
389,2778,53,1061,5997
391,2778,54,1061,6029
391,2781,53,1063,6126
391,2781,58,1063,6126
391,2781,53,1063,6133
392,2779,53,1063,6179
393,2779,53,1064,6198
392,2781,57,1065,6232
391,2785,57,1065,6260
393,2785,53,1068,6332
393,2786,53,1068,6332
392,2788,53,1068,6332
370,2609,53,938,5925
370,2609,53,939,5931
371,2609,53,940,5972
373,2610,54,942,5972
370,2616,55,943,6014
371,2616,55,943,6014
372,2618,58,943,6016
372,2620,57,943,6056
376,2622,57,945,6062
376,2625,60,945,6100
378,2628,65,945,6129
379,2630,58,945,6143
380,2630,63,945,6143
380,2633,61,945,6147
380,2634,63,945,6170
382,2634,66,946,6187
382,2635,66,947,6207
383,2636,67,947,6224
383,2636,67,948,6228
383,2637,64,949,6230
384,2637,65,949,6231
384,2637,66,949,6286
385,2637,62,949,6327
386,2637,62,949,6330
386,2637,64,949,6332
387,2637,63,949,6378
387,2637,62,951,6384
386,2639,63,951,6385
388,2639,61,957,6414
388,2645,58,958,6454
397,2646,58,958,6487
397,2646,58,958,6512
397,2647,58,958,6546
398,2647,58,958,6546
398,2647,59,959,6546
400,2647,59,959,6565
399,2649,59,959,6593
405,2649,59,959,6598
407,2650,61,960,6664
406,2651,60,960,6689
406,2651,60,960,6689
406,2651,60,960,6689
405,2652,59,961,6699
406,2652,60,961,6700
406,2654,69,962,6704
396,2665,71,962,6723
397,2665,69,962,6782
397,2665,69,963,6790
397,2666,64,963,6797
395,2669,63,965,6852
394,2672,62,966,6867
396,2672,61,966,6917
398,2672,62,966,6965
398,2674,63,966,7022
399,2676,61,967,7025
399,2676,60,967,7026
395,2682,62,967,7067
395,2682,61,967,7090
397,2684,60,967,7092
398,2684,61,967,7094
399,2685,60,967,7097
399,2685,61,967,7097
398,2687,59,967,7099
399,2687,60,967,7102
400,2687,61,967,7103
400,2688,64,967,7124
399,2695,60,967,7132
398,2696,62,967,7136
398,2696,63,968,7136
400,2697,64,968,7137
398,2699,62,968,7146
396,2702,55,970,7195
396,2703,56,970,7231
400,2705,56,970,7231
402,2705,56,970,7250
402,2705,56,970,7250
404,2705,60,971,7250
403,2709,57,975,7332
403,2713,59,975,7368
400,2717,58,975,7377
418,2721,64,975,7384
419,2722,83,978,7385
416,2725,88,979,7393
416,2725,92,979,7393
416,2726,96,982,7412
416,2727,95,982,7435
418,2728,98,984,7494
416,2730,102,985,7515
414,2731,88,1001,7518
414,2731,87,1002,7518
414,2731,88,1005,7518
412,2735,89,1007,7590
412,2737,88,1011,7650
413,2737,91,1013,7673
413,2738,89,1013,7699
414,2740,90,1013,7736
414,2740,90,1014,7737
398,2757,57,1049,7738
399,2757,58,1051,7796
400,2759,58,1049,7818
400,2760,60,1049,7821
400,2761,62,1049,7846
400,2761,61,1049,7852
400,2762,62,1049,7854
400,2762,62,1049,7854
400,2763,62,1049,7875
400,2763,63,1049,7895
396,2767,63,1049,7902
397,2767,64,1049,7907
397,2769,59,1051,7913
397,2769,59,1051,7913
397,2769,59,1051,7913
397,2769,60,1051,7918
397,2769,61,1051,7956
397,2769,61,1051,7976
397,2770,60,1052,7981
398,2770,63,1052,8083
400,2770,63,1052,8083
401,2770,63,1052,8083
402,2770,63,1052,8141
402,2770,64,1052,8141
403,2770,63,1052,8146
403,2770,63,1052,8165
403,2770,64,1052,8165
403,2771,66,1052,8168
404,2772,66,1052,8168
395,2781,64,1052,8202
395,2771,66,1053,8087
395,2773,91,1064,8142
397,2774,64,1082,8206
398,2775,68,1082,8254
399,2775,66,1083,8257
400,2776,65,1084,8260
401,2777,65,1084,8288
402,2777,65,1085,8315
404,2777,64,1085,8360
402,2780,70,1085,8367
404,2780,63,1086,8443
407,2781,64,1086,8446
407,2782,63,1086,8450
407,2783,63,1086,8489
406,2784,64,1087,8491
406,2784,63,1087,8512
406,2784,63,1087,8515
406,2784,64,1088,8515
406,2784,64,1089,8518
406,2784,64,1090,8520
406,2784,67,1090,8522
407,2784,66,1090,8534
408,2784,65,1091,8536
410,2784,66,1091,8537
410,2784,67,1091,8537
412,2784,68,1091,8537
412,2784,68,1091,8537
412,2785,64,1092,8542
412,2786,63,1092,8544
411,2788,65,1092,8544
409,2790,63,1092,8546
409,2790,63,1092,8546
409,2790,64,1092,8546
408,2791,64,1092,8547
408,2791,63,1092,8551
409,2791,63,1092,8565
408,2793,62,1092,8572
409,2793,65,1092,8576
410,2799,65,1092,8579
411,2799,66,1092,8580
411,2800,66,1092,8580
412,2801,64,1092,8588
413,2801,64,1091,8588
414,2802,65,1092,8589
414,2804,63,1093,8610
413,2805,64,1094,8625
415,2806,66,1094,8636
415,2807,69,1095,8638
415,2807,69,1095,8651
417,2807,70,1095,8652
418,2810,69,1096,8662
429,2810,80,1097,8676
455,2813,70,1098,8760
458,2813,74,1098,8761
457,2815,86,1099,8773
457,2818,69,1102,8828
455,2822,72,1102,8835
455,2823,70,1102,8839
456,2823,72,1102,8840
458,2823,74,1102,8852
458,2823,76,1102,8860
458,2824,75,1102,8875
458,2828,72,1102,8930
461,2834,71,1106,8960
460,2837,71,1106,8968
459,2840,79,1107,8971
459,2842,83,1107,8976
459,2842,82,1108,8976
461,2842,85,1108,8985
